DIV;Condition;Complexity_index;Path_length_Min;Path_length_Max;Path_length_Mean;Path_length_SD;Path_length_Sum;Sholl_Ramification_index;Nb_primary_branches;Nb_terminal_branches;Nb_intersection;Ratio_len_intersection_total
DIV4;Condition 1;14621.42948;8.621732345;351.4733794;44.15444624;77.61961158;838.9344786;7.313162629;7;19;3;0.194411178
DIV4;Condition 1;1963.360493;20.80520747;62.62357325;36.7473889;13.02986365;404.221278;9.852670255;7;11;4;0.44092219
DIV4;Condition 1;1617.507824;8.16554384;230.0653753;36.76154145;61.06848778;441.1384974;9.5136579;9;12;1;0.166456494
DIV4;Condition 1;3351.809098;7.409705977;132.7770381;36.83306701;35.26821819;478.8298712;8.055510664;7;13;2;0.73347548
DIV4;Condition 2;1999.14048;9.164193592;221.7156968;38.07886628;58.11963506;456.9463954;8.682907995;8;12;3;0.10164108
DIV4;Condition 2;7086.898424;11.14963652;223.7234881;39.24706406;51.26826198;627.9530249;7.187961374;7;16;3;0.092243187
DIV4;Condition 2;14935.20063;4.815631603;173.6657;22.02831952;33.10131698;594.764627;9.185053839;9;27;1;0.605555556
DIV4;Condition 2;1733.007886;16.77840851;218.3197881;65.15067239;69.34155865;456.0547067;5.352018663;5;7;1;0.405956113
DIV4;Condition 2;2347.23983;13.81796399;360.5443698;55.06721009;101.5867562;605.739311;8.088454726;8;11;1;0.816326531
DIV4;Condition 2;1539.482268;15.89025928;229.3356982;52.05978684;67.45753972;468.5380816;7.182685234;7;9;0;0.159318937
DIV4;Condition 2;826.1744349;11.66774347;135.7261329;40.16125725;41.03687376;321.290058;7.029629909;7;8;2;0.232863393
DIV4;Condition 2;6019.228625;5.610103694;128.4087889;25.29087657;24.88062623;657.5627909;13.85960496;13;26;5;
DIV4;Condition 2;12858.5234;5.587613873;130.7830066;24.5204489;27.34334611;465.8885292;11.17767247;5;19;5;0.427821522
DIV4;Condition 2;1790.648168;6.089445182;185.8260857;33.50485138;46.26879814;435.5630679;10.17489997;9;13;1;
DIV4;Condition 2;7585.201484;6.744846596;176.1168291;23.11680452;35.96565325;485.452895;9.959127432;8;21;3;0.09311981
DIV4;Condition 2;1326.610233;12.7032115;321.1650967;64.48799744;104.6428799;515.9039796;7.563301385;7;8;2;
DIV4;Condition 2;4808.796144;10.06856743;298.0479126;45.36600136;73.98156782;635.1240191;7.255549329;7;14;4;0.435386927
DIV4;Condition 2;4300.671276;14.71821775;297.2999412;45.27022395;70.04736817;679.0533593;9.613640407;9;15;1;
DIV4;Condition 2;2069.441196;7.442126295;226.8523895;42.48119757;61.87671396;467.2931732;8.693429238;7;11;3;0.118453255
DIV4;Condition 2;9373.438685;5.985795515;229.3760072;35.10651193;55.52589192;526.5976789;5.397292055;5;15;2;0.27338827
DIV4;Condition 2;4743.093166;7.543320496;193.8280282;28.9212998;41.92776545;520.5833963;10.65175379;9;18;2;
